,TWEIX,BRKA,DGRIX,LBF,FTRNX,JAVLX,OPGSX,PRTBX,PTTRX,PINCX,GSPC,VWNDX
20050331,-0.012089,-0.03548,-0.023576,-0.09446,-0.019498,-0.014925,-0.052359,0.00134,-0.00226,-0.004978,-0.01828,-0.016657
20050429,-0.019876,-0.03046,-0.012786,0.02918,-0.019312,-0.008899,-0.101204,0.001635,0.015162,0.012695,-0.01874,-0.020327
20050531,0.020279,-0.00296,0.029993,0.04408,0.036069,0.050231,0.020694,0.001336,0.011564,0.009652,0.03222,0.034582
20050630,0.007841,-0.00713,-0.004897,0.02375,0.003199,0.022412,0.089445,0.001482,0.005064,0.004219,0.0015,0.004453
20050729,0.02104,0,0.033977,0.08699,0.039017,0.047006,-0.015873,0.00148,-0.007862,-0.008836,0.03826,0.031285
20050831,-0.010909,-0.00419,-0.016108,-0.03498,-0.006319,0.012087,0.051168,0.002069,0.013546,0.013063,-0.00937,-0.007584
20050930,0.002226,-0.01383,0.014014,0.02125,0.016533,0.03135,0.132275,0.002065,-0.010617,-0.011169,0.00799,-0.002729
20051031,-0.01599,0.04756,-0.018123,-0.02043,-0.015728,-0.015095,-0.053738,0.001766,-0.008725,-0.006917,-0.02365,-0.025178
20051130,0.02,0.04063,0.042848,0.01145,0.041765,0.026874,0.081975,0.002498,0.003704,0.003423,0.04395,0.040988
20051230,0.004294,-0.00861,-0.001385,0.02258,0.004415,0.002244,0.119295,0.002667,0.009906,0.007885,-0.0019,0.01592
20060131,0.02046,0.009817,0.02225,0.01627,0.033729,0.040065,0.207815,0.001929,0.001774,0.000424,0.024014,0.029738
20060228,0.011278,-0.030059,0,0.097291,-0.00338,-0.027123,-0.076431,0.00237,0.003397,0.003428,0.005725,0.002831
20060331,0.010397,0.040899,0.010945,-0.035915,0.016457,0.017778,0.118553,0.003103,-0.010436,-0.008477,0.016504,0.014681
20060428,0.01603,-0.014942,0.016636,-0.01706,0.013854,0.013894,0.127323,0.002799,0.000929,-0.004054,0.012632,0.030607
20060531,-0.010922,0.036966,-0.043636,-0.055422,-0.040007,-0.045223,-0.085165,0.003085,-0.002893,-0.000908,-0.030121,-0.031857
20060630,0.004999,-0.006837,-0.006844,-0.026786,-0.0012,0.011688,-0.027361,0.003222,-0.000917,0.000608,0.002251,-0.006546
20060731,0.025735,-0.000644,0.005115,0.060859,0.006525,0.017025,0.017839,0.003358,0.015904,0.012833,0.004873,-0.005656
20060831,0.020311,0.049094,0.036896,0.047799,0.024053,-0.014548,0.048871,0.003492,0.014746,0.015737,0.021822,0.021047
20060929,0.021374,-0.003091,0.037607,0,0.017325,0.013751,-0.105398,0.00377,0.007869,0.008393,0.026994,0.026184
20061031,0.02765,0.100992,0.027235,0.053343,0.029966,0.055855,0.105244,0.003178,0.006043,0.005384,0.031517,0.046145
20061130,0.017937,0.015406,0.027666,0.031286,0.020191,0.037975,0.107247,0.003456,0.011714,0.011316,0.019885,0.030099
20061229,0.014401,0.026984,0.001438,0.01022,0.008551,-0.000066,-0.018098,0.003641,-0.008532,-0.002062,0.013368,0.023451
20070131,0.004662,0.000546,0.023359,0.00565,0.017295,0.016844,0.005176,0.002476,-0.001754,-0.00208,0.01504,0.015558
20070228,-0.0058,-0.035075,-0.025293,0.026966,-0.025272,-0.010803,0.02712,0.003197,0.016558,0.015976,-0.019617,-0.015848
20070330,0.011963,0.026368,0.003797,0.008766,0.008171,0.020204,0.021725,0.003476,0.002319,-0.000454,0.011602,0.006441
20070430,0.031214,0.001927,0.039117,0.018557,0.039121,0.042462,0.028786,0.00332,0.002212,0.005485,0.044296,0.0384
20070531,0.020179,0.002656,0.024894,0.044324,0.034648,0.048434,0.023847,0.003453,-0.013788,-0.006363,0.03392,0.045198
20070629,-0.016968,-0.000137,-0.011967,-0.057971,-0.000145,-0.001796,-0.012112,0.003297,-0.00167,-0.00043,-0.014647,-0.021126
20070731,-0.029246,0.004796,-0.019856,-0.054989,0.003045,-0.004579,0.027979,0.002858,0.012178,0.007065,-0.03131,-0.03996
20070831,0.024334,0.076273,0.021486,0.021277,0.007806,0.019386,-0.058716,0.004702,0.013202,0.010027,0.012833,0.003688
20070928,0.022732,0.001014,0.041406,0.033565,0.060671,0.10701,0.224172,0.002836,0.019946,0.005504,0.038699,0.017848
20071031,0.003337,0.118049,0.034662,-0.018261,0.079378,0.087495,0.125265,0.002263,0.011215,0.008451,0.013567,0.006704
20071130,-0.037694,0.057358,-0.045226,-0.025522,-0.055249,-0.031191,-0.116038,0.00381,0.023375,0.004,-0.038733,-0.057889
20071231,-0.008259,0.010707,-0.00938,0.056458,0.011678,0.025984,0.00732,0.001874,0.004236,0.003446,-0.011332,-0.02719
20080131,-0.035897,-0.039548,-0.08433,-0.011468,-0.115102,-0.074629,0.030644,0.004219,0.033274,0.014745,-0.060461,-0.043921
20080229,-0.029255,0.029412,-0.031615,0.00464,-0.02221,0.018375,0.09138,0.001014,0.001449,-0.008952,-0.025843,-0.048602
20080331,0.00612,-0.047143,-0.008872,-0.024166,-0.014874,-0.002434,-0.085479,0.001737,-0.001387,-0.013582,-0.009031,-0.037789
20080430,0.036986,0.003373,0.058781,0.010843,0.06952,0.095894,-0.012845,0.000289,0.004189,-0.000106,0.047662,0.061818
20080530,0,0.005977,0.030467,0.054827,0.03413,0.042049,0.065338,-0.000289,-0.008653,0.002851,0.015116,-0.002055
20080630,-0.075434,-0.103231,-0.072273,-0.031916,-0.069607,-0.054808,0.008056,0.000867,-0.008626,-0.006279,-0.083499,-0.102365
20080731,0.011527,-0.052174,-0.034727,-0.021378,-0.031764,-0.049076,-0.145914,0.001155,0.001402,-0.007891,-0.008986,-0.010054
20080829,0.027066,0.018785,0.024229,-0.018204,-0.006162,-0.035105,-0.091156,0.000721,0.009915,-0.006437,0.015454,0.013281
20080930,-0.038872,0.120069,-0.119068,-0.21841499,-0.142594,-0.193506,-0.182664,0.002161,-0.031642,-0.045009,-0.094373,-0.111796
20081031,-0.119186,-0.115697,-0.173453,-0.18739901,-0.184874,-0.168045,-0.412028,0.000431,-0.008969,-0.094634,-0.165187,-0.174479
20081128,-0.026403,-0.099489,-0.074877,-0.083499,-0.081515,-0.113631,0.198341,0.001006,0.020325,-0.120308,-0.069607,-0.071504
20081231,0.034195,-0.071154,0.016817,0.208792,0.025214,0.047991,0.249131,-0.000295,0.038476,0.075192,0.009835,0.035942
20090130,-0.066445,-0.073478,-0.086316,0.171401,-0.050141,-0.008839,-0.00294,-0.000146,0.006095,0.054107,-0.082114,-0.095344
20090227,-0.078292,-0.121807,-0.092166,-0.090468,-0.068581,-0.073457,0.000983,-0.000438,-0.008443,-0.004088,-0.107449,-0.10049
20090331,0.054194,0.103053,0.086041,0.066231,0.088805,0.090932,0.143839,0,0.017473,0.02318,0.083484,0.114441
20090430,0.038745,0.084198,0.086854,0.149742,0.119022,0.116322,-0.030472,-0.000146,0.014107,0.04788,0.099346,0.121027
20090529,0.023091,-0.025532,0.063715,0.031437,0.046771,0.067596,0.322709,-0.000585,0.025665,0.051389,0.058453,0.065431
20090630,0.010968,-0.017467,0.002843,-0.019146,0.01066,0.006429,-0.122825,-0.000439,0.006903,0.040497,-0.000673,-0.011157
20090731,0.053633,0.077778,0.078173,0.019375,0.074731,0.092334,0.079741,-0.000439,0.022134,0.049333,0.074606,0.09205
20090831,0.021346,0.039691,0.033898,0.006261,0.024849,0.002481,0.009894,-0.000293,0.019436,0.037542,0.03694,0.039272
20090930,0.014538,0.001487,0.041985,0.100672,0.062347,0.036062,0.142057,-0.000293,0.017666,0.03006,0.035457,0.047926
20091030,-0.00319,-0.019802,-0.014886,-0.074074,-0.018604,-0.02747,-0.040748,-0.000439,0.005939,0.02322,-0.019225,-0.03518
20091130,0.0352,0.016162,0.047111,0.079111,0.067031,0.042456,0.198339,-0.00044,0.012659,0.01196,0.061607,0.059253
20091231,0.022163,-0.013917,0.026713,0.022586,0.033781,0.03652,-0.024577,-0.000737,-0.008871,0.0059,0.019072,0.034609
20100129,-0.027439,0.15524,-0.042254,-0.00963,-0.0528,-0.053905,-0.112441,-0.000148,0.01755,0.025484,-0.03634,-0.027708
20100226,0.020376,0.04538,0.039792,0.0277,0.039986,0.041359,0.099091,-0.00059,0.005122,0.002811,0.03119,0.030225
20100331,0.042813,0.01669,0.056323,0.01479,0.066065,0.054054,0.046505,-0.000443,0.007046,0.010808,0.06091,0.064543
20100430,0.016272,-0.05316,0.021293,0.0148,0.017609,-0.004065,0.118321,-0.000739,0.010552,0.012215,0.01549,0.011024
20100528,-0.05968,-0.08164,-0.078764,-0.04775,-0.06822,-0.092936,-0.040224,-0.000148,-0.000217,0.000449,-0.07948,-0.086449
20100630,-0.026929,0.13304,-0.056999,0.01957,-0.070893,-0.059017,0.014224,-0.000444,0.017012,0.013762,-0.05173,-0.067361
20100730,0.049679,-0.025,0.076581,0.06111,0.07438,0.072099,-0.009016,-0.000444,0.015084,0.012171,0.0683,0.077277
20100831,-0.012214,0.01432,-0.043011,0.02225,-0.039714,-0.064334,0.110184,-0.000444,0.014883,0.017167,-0.04498,-0.057216
20100930,0.057928,0.04908,0.101296,0.01927,0.109911,0.106161,0.08468,-0.000444,0.007749,-0.003137,0.08955,0.093297
20101029,0.020649,-0.04177,0.038583,0.07791,0.050688,0.067131,0.036306,-0.000444,0.010551,-0.000298,0.0382,0.040597
20101130,-0.004335,0.00754,0.009098,-0.04501,0.021565,-0.03557,0.069259,-0.000593,-0.014263,-0.00231,0.00002,0.001592
20101231,0.056097,0.00208,0.066495,-0.01616,0.053947,0.061105,0.051375,-0.000449,-0.005333,-0.003773,0.06682,0.08015
20110131,0.009709,0.0164,0.018375,0.00769,0.0187,0.003803,-0.120586,-0.000598,0.002847,0.008,0.0233,0.031088
20110228,0.026099,0.07249,0.043026,-0.01018,0.043415,0.024098,0.099247,-0.000599,0.005514,0.012452,0.03474,0.03374
20110331,-0.001681,-0.0457,-0.001929,0.01812,0.011449,-0.016427,0.005189,-0.00015,0.002846,0.002773,0.00011,-0.002778
20110429,0.030956,-0.00439,0.028724,0.01312,0.037824,0.038068,0.045426,-0.000449,0.016566,0.017512,0.02896,0.022284
20110531,-0.003916,-0.0479,-0.012987,0.02189,-0.00705,-0.022032,-0.065376,-0.000599,0.005658,0.008563,-0.01121,-0.012943
20110630,-0.015584,-0.02248,-0.018684,-0.00091,-0.023443,-0.015266,-0.051352,-0.00045,-0.003616,-0.005941,-0.01689,-0.029483
20110729,-0.029491,-0.03966,-0.033625,-0.00864,-0.001372,0.002107,0.0499,-0.00075,0.012585,0.011541,-0.02,-0.036507
20110831,-0.030387,-0.01552,-0.068894,0.00803,-0.073764,-0.073445,0.052408,0,-0.005719,-0.000169,-0.05498,-0.069094
20110930,-0.048424,-0.02705,-0.086771,-0.07788,-0.074448,-0.095315,-0.194355,-0.000901,-0.01743,-0.007301,-0.06945,-0.082203
20111031,0.076923,0.09504,0.126437,0.07012,0.118411,0.126859,0.087838,-0.000451,0.014048,0.007377,0.10915,0.123478
20111130,0.001401,0.01325,-0.00656,-0.01555,-0.025645,-0.029257,-0.008512,-0.000451,-0.008964,-0.013171,-0.00406,-0.010836
20111230,0.025753,-0.0316,-0.002126,0.0163,-0.016762,-0.011473,-0.140696,-0.000602,0.017191,0.008924,0.01044,0.008174
20120131,0.022008,0.02762,0.056827,0.0652,0.070585,0.088667,0.120819,-0.000602,0.025761,0.014802,0.04637,0.065779
20120229,0.018843,0.00008,0.047486,0.01152,0.057131,0.072636,-0.011577,-0.000602,0.002521,0.004397,0.04341,0.040411
20120330,0.018934,0.03363,0.032,0.00638,0.029995,0.02816,-0.11088,-0.000452,0.000323,0.001483,0.03216,0.032486
20120430,-0.005202,-0.00902,-0.010356,0.03134,-0.006158,-0.009619,-0.057084,-0.000452,0.014695,0.009642,-0.00668,-0.01368
20120531,-0.037908,-0.01614,-0.071288,-0.04327,-0.06893,-0.062716,-0.111146,-0.000603,0.008512,0.015382,-0.06006,-0.073509
20120629,0.039858,0.05128,0.03338,0.05099,0.030639,0.021075,0.020608,-0.000453,0.004491,0.003726,0.04057,0.042611
20120731,0.022398,0.02001,0.015038,0.03177,0.010223,0.01376,-0.007871,-0.000453,0.017405,0.020873,0.01179,0.01087
20120831,0.014175,-0.00694,0.028283,0.02865,0.035419,0.046318,0.132804,-0.000453,0.004809,0.0121,0.02505,0.025806
20120928,0.019778,0.04852,0.029142,0.02085,0.027906,0.014594,0.117235,-0.000453,0.009118,0.002232,0.02536,0.025856
20121031,-0.006274,-0.02408,-0.021046,0.00645,-0.026398,-0.029727,-0.02344,-0.000454,0.003697,0.01196,-0.0182,-0.001362
20121130,-0.002525,0.01862,0.01759,0.01555,0.019789,0.023884,-0.08038,-0.000454,0.005323,0.000828,0.0057,0.014325
20121231,0.007552,0.01625,0.013914,-0.0096,-0.000345,0.005316,-0.043703,-0.000454,0.002577,0.00387,0.00896,0.027569
20130131,0.048593,0.08813,0.061548,0.04039,0.037792,0.020625,-0.0914,-0.000454,-0.002691,0.003851,0.05119,0.06755
20130228,0.007317,0.0461,0.002989,-0.00387,0.006765,0.000158,-0.115613,-0.000454,0.005478,0.010735,0.01276,0.008685
20130328,0.029897,0.02412,0.031168,0.005,0.028942,0.029203,0.010664,-0.000455,0.003315,0.003815,0.03798,0.03813
20130430,0.022432,0.0174,0.01216,0.00721,0.016928,0.021626,-0.201641,-0.000455,0.011762,0.008307,0.01921,0.011848
20130531,0.006928,0.07736,0.038902,-0.0574,0.026533,0.022219,-0.02839,-0.000455,-0.02159,-0.017472,0.02358,0.046838
20130628,-0.001993,-0.01576,-0.017015,-0.04183,-0.020605,-0.017771,-0.171285,-0.000607,-0.026218,-0.016457,-0.01333,-0.008688
20130731,0.025434,0.03144,0.063448,0.00066,0.060749,0.061603,0.125228,-0.000455,0.00489,0.001545,0.05168,0.053824
20130830,-0.032694,-0.03939,-0.027455,-0.0379,-0.010797,-0.007746,0.072934,-0.000608,-0.010877,0.001573,-0.02999,-0.02957
20130930,0.02214,0.02011,0.045765,0.04924,0.053743,0.052661,-0.065962,-0.000456,0.017849,0.00722,0.03168,0.034903
